EmployeeKey,FullNameAr,JobTitle,BranchKey,HireDate,MonthlyTarget,PhoneNumber,Email
1,جلاء آل معيض,مدير فرع,5,2024-09-20,0,غير متوفر,tbwlmshwl@example.net
2,ضاحي الشايع,مندوب مبيعات,2,2022-02-11,0,غير متوفر,lhkyrrmy@example.com
3,أفنان العجلان,أخصائي مخزون,5,2023-06-19,0,غير متوفر,knwtyl@example.com
4,قنوع آل معيض,مندوب مبيعات,1,2022-05-04,0,غير متوفر,oal-myd@example.net
5,حيدر آل عواض,مندوب مبيعات,1,2024-05-15,45247,غير متوفر,qal-sltn@example.org
6,هيام الراشد,أخصائي مخزون,4,2023-01-19,0,غير متوفر,sblrshd@example.net
7,يارا العجلان,أخصائي مخزون,2,2022-04-09,0,غير متوفر,shrbtlytyq@example.net
8,قبس آل صفوان,أخصائي مخزون,3,2024-02-28,0,غير متوفر,al-qsyrwsm@example.org
9,ناهد آل سعود,مندوب مبيعات,2,2022-05-14,0,غير متوفر,pknw@example.com
10,جوريّة آل عواض,مدير فرع,1,2023-11-12,0,غير متوفر,khlylal-bn-zfr@example.com
11,مُتولي آل علي,مدير فرع,2,2022-04-21,0,غير متوفر,bljfly@example.com
12,راني آل بن لافي,مندوب مبيعات,1,2023-12-27,36338,غير متوفر,glmhydb@example.org
13,راغب آل قصير,أخصائي مخزون,2,2024-10-10,0,غير متوفر,mn46@example.net
14,ترانيم آل مقطة,مشرف مبيعات,2,2025-02-08,0,غير متوفر,lmshwldhyb@example.org
15,طلال الخرافي,مشرف مبيعات,4,2022-04-17,0,غير متوفر,rynbw-dwwd@example.org
16,ربى العجلان,أخصائي مخزون,1,2023-02-17,0,غير متوفر,bd-lqhwr27@example.net
17,ناردين آل الشيخ,مندوب مبيعات,2,2024-12-28,0,غير متوفر,ndr74@example.org
18,أفنان آل الشيخ,مدير فرع,1,2022-05-24,0,غير متوفر,cal-swd@example.com
19,فرحان آل علي,مندوب مبيعات,1,2023-07-21,0,غير متوفر,bd-lhywal-sfwn@example.net
21,ريتال آل العسكري,كاشير,1,2024-03-02,0,غير متوفر,ghjr@example.org
22,حفيظ الراشد,مندوب مبيعات,5,2023-08-22,0,غير متوفر,nm46@example.com
23,نوف آل سعود,أخصائي مخزون,4,2023-09-18,0,غير متوفر,sdqy69@example.net
24,لورين الشايع,مشرف مبيعات,5,2024-10-14,0,غير متوفر,skhal-lskry@example.org
25,ابتكار العجلان,أخصائي مخزون,3,2023-01-16,0,غير متوفر,zkhrljln@example.org
26,هايدي حجار,مندوب مبيعات,2,2025-05-29,0,غير متوفر,mswd14@example.org
27,روفيدا المهنا,مدير فرع,2,2023-02-27,0,غير متوفر,dldbg@example.org
28,أريج بقشان,كاشير,3,2023-10-15,0,غير متوفر,yal-lskry@example.com
29,لورين آل سعود,مدير فرع,4,2024-11-05,0,غير متوفر,nbw-dwwd@example.com
30,سلاف آل معيض,مشرف مبيعات,2,2023-05-23,0,غير متوفر,tywbal-swd@example.com
31,ودود آل علي,مدير فرع,5,2024-11-05,0,غير متوفر,eal-tf@example.net
32,عدنان مهنا,أخصائي مخزون,1,2024-12-08,0,غير متوفر,lrshdfkry@example.net
33,شامخ المغاولة,أخصائي مخزون,4,2023-12-16,0,غير متوفر,nbqshn@example.net
34,أسرار العليان,مشرف مبيعات,3,2023-08-12,0,غير متوفر,jllyn@example.org
35,لاما آل العسكري,كاشير,2,2024-12-08,0,غير متوفر,fkhr-ldwyn74@example.com
36,شوقي أبو داوود,مندوب مبيعات,4,2023-01-26,0,غير متوفر,trysal-wd@example.com
37,أحلام المهنا,كاشير,1,2022-10-06,0,غير متوفر,clqyl@example.com
38,عاطف العقيل,مندوب مبيعات,5,2022-10-14,0,غير متوفر,rhyflmhydb@example.com
39,معارف الشايع,مشرف مبيعات,3,2024-07-30,0,غير متوفر,hythmal-jfr@example.org
40,يارا العقيل,أخصائي مخزون,4,2022-01-05,0,غير متوفر,smh10@example.org
41,يارا بقشان,مندوب مبيعات,1,2025-05-16,0,غير متوفر,khls40@example.org
42,عبد الرّؤوف بقشان,مدير فرع,5,2022-12-22,0,غير متوفر,aljfly@example.com
43,سلمان الجابر,مدير فرع,5,2023-05-14,0,غير متوفر,mal-bn-lfy@example.net
44,أناهيد آل علي,مندوب مبيعات,3,2023-07-17,0,غير متوفر,al-wdrdy@example.com
45,عبد الواحد المشاولة,مدير فرع,5,2022-07-02,0,غير متوفر,mzn58@example.com
46,ربى بن لادن,أخصائي مخزون,4,2022-01-04,0,غير متوفر,shhb39@example.com
47,روفيدا العقيل,مدير فرع,1,2022-12-29,0,غير متوفر,al-sltnmmwn@example.net
48,منيع آل محمد بن علي بن جماز,كاشير,5,2022-08-28,0,غير متوفر,lrshdrny@example.net
49,مشرق آل صفوان,كاشير,1,2024-12-29,0,غير متوفر,shkral-hsyn@example.net
50,يعرب آل سلطان,أخصائي مخزون,4,2023-08-18,0,غير متوفر,lljfly@example.com
51,لتين أبا الخيل,مشرف مبيعات,1,2024-09-19,0,غير متوفر,knwknr@example.com
52,مُنير آل مقطة,مدير فرع,1,2022-01-13,0,غير متوفر,al-mqtmrw@example.net
53,زهير المهنا,كاشير,2,2023-10-08,0,غير متوفر,xlmhydb@example.org
54,حلا المهنا,مندوب مبيعات,4,2025-05-13,0,غير متوفر,syl31@example.net
55,عتاب آل رفيع,مندوب مبيعات,5,2023-12-23,0,غير متوفر,qlhjr@example.net
56,بنفسج الدباغ,كاشير,4,2024-12-17,0,غير متوفر,khldy64@example.org
57,جمان فصيل,أخصائي مخزون,5,2022-07-09,0,غير متوفر,srj90@example.com
58,شافع آل رفيع,أخصائي مخزون,1,2022-08-13,0,غير متوفر,xlshy@example.com
59,معتوق المشاولة,أخصائي مخزون,3,2024-03-08,0,غير متوفر,llynmdh@example.com
60,علي حجار,مدير فرع,5,2022-04-25,0,غير متوفر,yal-khdyr@example.net
61,معتوق آل عواض,مدير فرع,3,2022-06-27,0,غير متوفر,lrshdrmz@example.net
62,بشرى المهيدب,مشرف مبيعات,3,2025-02-21,0,غير متوفر,fkhr-ldwyn19@example.net
63,ضياء الدّين آل خضير,مندوب مبيعات,1,2022-11-27,0,غير متوفر,al-ydbd-lrwshyd@example.net
64,ريفال الجفالي,مندوب مبيعات,2,2025-03-30,66301,غير متوفر,vljln@example.org
65,ريتاج بقشان,مندوب مبيعات,2,2023-07-29,0,غير متوفر,slh81@example.com
66,عبد القدّوس مهنا,مندوب مبيعات,1,2023-10-30,0,غير متوفر,myr10@example.com
67,بشرى الحكير,مندوب مبيعات,2,2025-03-06,32058,غير متوفر,bw-dwwdysr@example.com
68,ديمه آل رفيع,مندوب مبيعات,2,2024-06-09,45597,غير متوفر,vb-lkhyl@example.com
69,بوران آل جعفر,كاشير,2,2022-12-11,0,غير متوفر,bhllyn@example.com
70,ريان شربتلي,أخصائي مخزون,4,2025-03-17,0,غير متوفر,al-bn-lfyfywd@example.com
71,ناعم الحكير,مشرف مبيعات,4,2022-04-30,0,غير متوفر,ljbrmrym@example.org
72,عابد الشايع,مندوب مبيعات,3,2024-02-23,0,غير متوفر,ljbrrf@example.net
73,جوليا كانو,مشرف مبيعات,5,2024-11-19,0,غير متوفر,zglwl81@example.net
75,سنام الشايع,مندوب مبيعات,5,2022-08-28,0,غير متوفر,xal-tf@example.net
76,دانية الحكير,مدير فرع,1,2024-06-05,0,غير متوفر,al-sfwnbd-lrwshyd@example.com
77,راشد آل عواض,كاشير,1,2024-03-08,0,غير متوفر,rwy52@example.org
78,لوليا آل سعود,مشرف مبيعات,4,2022-03-01,0,غير متوفر,dnnal-rfy@example.org
79,لوجين آل جعفر,كاشير,1,2023-01-06,0,غير متوفر,hnbwlyfkhry@example.org
80,اصيل المغاولة,أخصائي مخزون,1,2024-06-05,0,غير متوفر,ljflykhlyl@example.com
81,يسار الجابر,مندوب مبيعات,1,2023-01-10,65427,غير متوفر,sal-bn-zfr@example.org
82,عفيف أبا الخيل,كاشير,1,2022-03-10,0,غير متوفر,vlhkyr@example.org
83,ميسون آل معيض,مشرف مبيعات,1,2024-02-10,0,غير متوفر,d44@example.com
84,لارا الجفالي,مندوب مبيعات,2,2024-07-25,0,غير متوفر,ial-bn-zfr@example.org
85,زهرة الحكير,مشرف مبيعات,1,2023-01-02,0,غير متوفر,pbw-dwwd@example.com
86,جلال آل عايض,مشرف مبيعات,2,2023-01-23,0,غير متوفر,lshyshdy@example.net
87,علم الدّين كانو,أخصائي مخزون,2,2023-11-23,0,غير متوفر,mundlal-lskry@example.com
88,لورين المهيدب,كاشير,5,2024-05-10,0,غير متوفر,qylfsyl@example.org
89,ريما آل سعود,مندوب مبيعات,2,2023-12-01,0,غير متوفر,ndhyr41@example.com
90,بدرالدّجى شربتلي,مندوب مبيعات,4,2022-11-01,0,غير متوفر,al-bn-zfrjlnr@example.net
91,جميل العليان,مندوب مبيعات,5,2023-02-16,0,غير متوفر,val-ly@example.net
92,روفيدا الجفالي,أخصائي مخزون,4,2022-08-12,0,غير متوفر,al-mqtkshf@example.net
93,عمير بقشان,مندوب مبيعات,1,2023-10-12,63281,غير متوفر,yrbljfly@example.org
94,ماذى حجار,مندوب مبيعات,1,2022-03-20,0,غير متوفر,flhlmhydb@example.com
95,لانا المهيدب,مندوب مبيعات,4,2022-04-25,45414,غير متوفر,al-bn-zfrhsm@example.org
96,ليان المغاولة,أخصائي مخزون,3,2025-01-13,0,غير متوفر,mws05@example.com
97,ماهر بن لادن,مندوب مبيعات,2,2024-11-12,0,غير متوفر,jhdbqshn@example.net
98,مسلم أبو داوود,مندوب مبيعات,4,2022-06-20,73081,غير متوفر,shtr78@example.com
99,حلا حنبولي,مدير فرع,4,2024-04-28,0,غير متوفر,zkhr98@example.com
100,بلند آل مقطة,مدير فرع,2,2023-09-05,0,غير متوفر,rsmyhnbwly@example.net
101,حمزة كانو,كاشير,2,2024-06-30,0,غير متوفر,bd-lmjydbw-dwwd@example.com
102,رازي فصيل,مشرف مبيعات,5,2024-09-30,0,غير متوفر,hbwb04@example.net
103,غزير آل مقطة,مندوب مبيعات,2,2024-07-25,0,غير متوفر,thmrljbr@example.com
104,لقمان الراشد,أخصائي مخزون,1,2024-06-01,0,غير متوفر,dwy99@example.org
105,جواهر آل بن لافي,مندوب مبيعات,1,2023-02-11,43969,غير متوفر,mnhjr@example.com
106,جميلة آل قصير,مدير فرع,4,2023-10-08,0,غير متوفر,nzr71@example.net
107,ميرا الشايع,مدير فرع,1,2022-11-16,0,غير متوفر,lkhrfykf@example.org
108,حقّي الراشد,أخصائي مخزون,2,2025-03-04,0,غير متوفر,ylhkyr@example.org
109,رهيف آل عايض,أخصائي مخزون,5,2024-11-26,0,غير متوفر,bdljln@example.com
110,ترانيم آل رفيع,أخصائي مخزون,1,2022-08-29,0,غير متوفر,al-qsyrhfyz@example.com
111,حيدر آل سعود,مندوب مبيعات,2,2023-11-13,0,غير متوفر,lmhydbjwn@example.net
112,ماذى آل بن لافي,مندوب مبيعات,1,2022-09-30,0,غير متوفر,lyn27@example.org
113,هاجر المغاولة,مدير فرع,5,2024-05-23,0,غير متوفر,al-mydqsyd@example.net
114,داهي آل عطفة,مدير فرع,2,2024-07-28,0,غير متوفر,hythmbw-dwwd@example.com
115,زكية أبا الخيل,مدير فرع,2,2023-08-15,0,غير متوفر,thqyfal-mhmd-bn-ly-bn-jmz@example.net
116,بنفسج آل عطفة,مندوب مبيعات,4,2024-06-26,0,غير متوفر,ial-yd@example.net
118,أروى آل الشيخ,مندوب مبيعات,1,2024-08-15,38573,غير متوفر,rzynal-khdyr@example.net
119,نصري آل محمد بن علي بن جماز,كاشير,5,2022-08-20,0,غير متوفر,ylhkyr@example.net
120,تمّام آل صفوان,مشرف مبيعات,5,2024-01-10,0,غير متوفر,hkym14@example.net
121,عبد الواحد المشاولة,مدير فرع,5,2022-07-02,0,غير متوفر,mzn58@example.com
122,منيع آل محمد بن علي بن جماز,كاشير,5,2022-08-28,0,غير متوفر,lrshdrny@example.net
123,حيدر آل عواض,مندوب مبيعات,1,2024-05-15,45247,غير متوفر,qal-sltn@example.org
124,بنفسج الدباغ,كاشير,4,2024-12-17,0,غير متوفر,khldy64@example.org
125,روفيدا المهنا,مدير فرع,2,2023-02-27,0,غير متوفر,dldbg@example.org
126,ريتاج بقشان,مندوب مبيعات,2,2023-07-29,0,غير متوفر,slh81@example.com
