EmployeeKey,FullNameAr,JobTitle,BranchKey,HireDate,MonthlyTarget,PhoneNumber,Email
1,جلاء آل معيض,مدير فرع,5.0,2024-09-20,0,232.318.1960,tbwlmshwl@example.net
2,المهندس ضاحي الشايع,مندوب مبيعات,2.0,2022-02-11,0,001-740-326-5423,lhkyrrmy@example.com
3,أفنان العجلان,أخصائي مخزون,5.0,2023-06-19,0,+1-516-318-4959,knwtyl@example.com
4,الأستاذ قنوع آل معيض,مندوب مبيعات,1.0,2022-05-04,0,452.955.3419x283,oal-myd@example.net
5,السيد حيدر آل عواض,مندوب مبيعات,1.0,2024-05-15,45247,9568413953,qal-sltn@example.org
6,هيام الراشد,أخصائي مخزون,4.0,2023-01-19,0,001-365-432-8710,sblrshd@example.net
7,السيدة يارا العجلان,أخصائي مخزون,2.0,2022-04-09,0,648.401.8451x46270,shrbtlytyq@example.net
8,الدكتور قبس آل صفوان,أخصائي مخزون,3.0,2024-02-28,0,+1-680-595-7015,al-qsyrwsm@example.org
9,الآنسة ناهد آل سعود,مندوب مبيعات,2.0,2022-05-14,0,(578)624-8963,pknw@example.com
10,الآنسة جوريّة آل عواض,مدير فرع,1.0,2023-11-12,0,350-298-3930,khlylal-bn-zfr@example.com
11,السيد مُتولي آل علي,مدير فرع,2.0,2022-04-21,0,+1-329-397-3763,bljfly@example.com
12,راني آل بن لافي,مندوب مبيعات,1.0,2023-12-27,36338,(551)333-3872x6247,glmhydb@example.org
13,راغب آل قصير,أخصائي مخزون,2.0,2024-10-10,0,(267)873-6026,mn46@example.net
14,الأستاذة ترانيم آل مقطة,مشرف مبيعات,2.0,2025-02-08,0,909.480.5009,lmshwldhyb@example.org
15,طلال الخرافي,مشرف مبيعات,4.0,2022-04-17,0,793-699-0916,rynbw-dwwd@example.org
16,الأستاذة ربى العجلان,أخصائي مخزون,1.0,2023-02-17,0,310-579-9118x38425,bd-lqhwr27@example.net
17,ناردين آل الشيخ,مندوب مبيعات,2.0,2024-12-28,0,+1-784-512-4118x24493,ndr74@example.org
18,الدكتورة أفنان آل الشيخ,مدير فرع,1.0,2022-05-24,0,724-427-8680x11280,cal-swd@example.com
19,فرحان آل علي,مندوب مبيعات,1.0,2023-07-21,0,+1-731-858-6923x22602,bd-lhywal-sfwn@example.net
20,الآنسة لوليا آل عواض,مدير فرع,,2022-06-17,0,775.643.3036,al-mydfkhr@example.net
21,المهندسة ريتال آل العسكري,كاشير,1.0,2024-03-02,0,742-794-0196,ghjr@example.org
22,السيد حفيظ الراشد,مندوب مبيعات,5.0,2023-08-22,0,7883356159,nm46@example.com
